Id,Keywords,Year,Material,Height,Width,Time,Description
ARKM.2005-202-35,"""Den första modellen""",1963-04-01 00:00:00,"Modell, gips, trä",300,70,1963-04-01 00:00:00,unknown
ARKM.2005-02-03-56-01,Fasadskiss,1963-04-01 00:00:00,Transparent papper,570,523,1963-04-01 00:00:00,Både fett och hård blyerts.
ARKM.2005-02-200-011-001,Fasadskiss,1977,Papper,196,105 mm,1977,Typ av kopia inte identifierad
ARKM.2005-02-200-219-003,Stödbrev från Marianne,1977,Vykort,148,103,1977,Typ av kopia inte identifierad
ARKM.2005-02-200-219-002,Stödbrev från Nils Ahrbom,1977,Papper,147,105 mm ,1977,Typ av kopia inte identifierad
ARKM.2005-02-200-219-004a,Stödbrev från Lennart Uhlin,1977,Papper,134,180,1977,Typ av kopia inte identifierad
ARKM.2005-02-200-219-004b,"Kuvert till brevet ovam
Stödbrev från Lennart Uhlin",1977,Papper,146,95,1977,Kuvert med frimärke på med skrift
"ARKM.2005-02-200-219-005a
ARKM.2005-02-200-219-005b",Stödbrev från Anders Tengbom,1977,Papper,Kuvert: 161,"114
Brev: 147",1977,Kuvert med frimärke på med skrift
ARKM.2005-02-200-219-006,Stödbrev från Lars Bryde,1977,Papper,205,100,1977,Kuvert med frimärke på med skrift
"ARKM.2005-02-200-219-007a
ARKM.2005-02-200-219-007b",Stödbrev från Bengt OH Johansson på Sveriges Arkitekturmuseum,1977,Papper,Kuvert: 160,"114
Brev: 148",1977,Kuvert med frimärke på med skrift.
"ARKM.2005-02-200-219-008a
ARKM.2005-02-200-219-008b",Stödbrev från Jan Henriksson,1977,Papper,147,104,1977,Lite tjock papper
ARKM.2005-02-200-219-009,Stödbrev från Åke Lindqvist,1977,Papper,164,115,1977,"OBS!
I omslaget finns två föremål ett kuvert och ett brev men brevet finns ej i listan! 

Kuvert med frimärke på med skrift."
ARKM.2005-02-200-219-010,Stödbrev från Sven Markelius,1977,Papper,148,105,1977,"Svart stämpel ""Sven Markelius"" och påskrift ""P"" i röd färpenna"
ARKM.2005-02-165-01,KOLLA OM VI HAR ORIGINALET?,1977,Papper,210,296,1977,"Anteckningar på kopia med filtpenna, kulspetspenna och blyerts.
"
ARKM.2005-02-165-01,Original av ovanstående.,1977,Papper,210,296,1977,"Anteckningar på kopia med filtpenna, kulspetspenna och blyerts.
"
ARKM.1996-32-200-17-001,"Brev från Lola till Birgitte Trotzig, skribent och kritiker bl a på Aftonbladet. Lola vädjar om hjälp att få bygga kyrkan. ",1977,Papper,210,296,1977,kopia av maskinskrift och handskrift 
ARKM.2005-102,"Brev från Lola till Birgitte Trotzig, skribent och kritiker bl a på Aftonbladet. Lola vädjar om hjälp att få bygga kyrkan. ",1977,foto,178,243,1977,kopia av maskinskrift och handskrift 
ARKM.2005-02-087-01,"Brev från Lola till Birgitte Trotzig, skribent och kritiker bl a på Aftonbladet. Lola vädjar om hjälp att få bygga kyrkan. ",1977,Papper,210,295,1977,kopia av maskinskrift och handskrift 
ARKM.2005-02-211-01a,Brev till högvördige Pater där Lola vädgar till honom att bygga kyrkan,1/5-1971,Papper,3 st 210,296,1/5-1971,kopia av maskinskrift och handskrift 
ARKM.2005-102-,"Vernissagebild
(Gunvor Lindroos och David Heldén)",1976-09-11 00:00:00,foto,108,85,1976-09-11 00:00:00,kopia av maskinskrift och handskrift 
ARKM.2005-102-,Vernissagebild,1976-09-12 00:00:00,foto,108,85,1976-09-12 00:00:00,kopia av maskinskrift och handskrift 
ARKM.2005-102,Vernissagebild,1976-09-12 00:00:00,foto,240,182 mm,1976-09-12 00:00:00,kopia av maskinskrift och handskrift 
ARKM.2005-102,Vernissagebild,1976-09-12 00:00:00,foto,230,175 mm,1976-09-12 00:00:00,kopia av maskinskrift och handskrift 
